Year,Month,Total_Sales,Total_Orders,Period
2014,1,14236.9,79,2014-01
2014,2,4519.89,46,2014-02
2014,3,55691.01,157,2014-03
2014,4,28295.35,135,2014-04
2014,5,23648.29,122,2014-05
2014,6,34595.13,135,2014-06
2014,7,33946.39,143,2014-07
2014,8,27909.47,153,2014-08
2014,9,81777.35,268,2014-09
2014,10,31453.39,159,2014-10
2014,11,78628.72,318,2014-11
2014,12,69545.62,278,2014-12
2015,1,18174.08,58,2015-01
2015,2,11951.41,64,2015-02
2015,3,38726.25,138,2015-03
2015,4,34195.21,160,2015-04
2015,5,30131.69,146,2015-05
2015,6,24797.29,138,2015-06
2015,7,28765.33,140,2015-07
2015,8,36898.33,159,2015-08
2015,9,64595.92,293,2015-09
2015,10,31404.92,166,2015-10
2015,11,75972.56,324,2015-11
2015,12,74919.52,316,2015-12
2016,1,18542.49,89,2016-01
2016,2,22978.82,83,2016-02
2016,3,51715.88,163,2016-03
2016,4,38750.04,170,2016-04
2016,5,56987.73,225,2016-05
2016,6,40344.53,199,2016-06
2016,7,39261.96,201,2016-07
2016,8,31115.37,176,2016-08
2016,9,73410.02,363,2016-09
2016,10,59687.75,196,2016-10
2016,11,79411.97,370,2016-11
2016,12,96999.04,352,2016-12
2017,1,43971.37,155,2017-01
2017,2,20301.13,107,2017-02
2017,3,58872.35,238,2017-03
2017,4,36521.54,203,2017-04
2017,5,44261.11,242,2017-05
2017,6,52981.73,245,2017-06
2017,7,45264.42,226,2017-07
2017,8,63120.89,218,2017-08
2017,9,87866.65,459,2017-09
2017,10,77776.92,298,2017-10
2017,11,118447.83,459,2017-11
2017,12,83829.32,462,2017-12
